Feature Name,Mean,Std Dev,Normal Min,Normal Max,Actual Min,Actual Max,5th Percentile,25th Percentile,Median (50th),75th Percentile,95th Percentile
Length of Review,18.2521,5.5052,9.9942,26.5099,2.0,38.0,11.0,14.0,17.0,23.0,28.0
Word Variety,0.9291,0.069,0.8256,1.0325,0.5,1.0,0.8,0.8889,0.9375,1.0,1.0
Average Word Length,5.1437,0.5921,4.2556,6.0317,3.0,8.2308,4.25,4.7368,5.0909,5.5,6.1818
Overall Tone,0.2653,0.2351,-0.0873,0.6179,-1.0,1.0,-0.1166,0.1172,0.2711,0.4167,0.6333
Opinion Level,0.5448,0.1771,0.2791,0.8105,0.0,1.0,0.25,0.44,0.55,0.66,0.8125
Language Complexity,78.7613,13.2116,58.9438,98.5787,0.0,100.0,54.8203,71.1383,80.3064,87.9391,98.2905
Word Repetition,0.0709,0.069,-0.0325,0.1744,0.0,0.5,0.0,0.0,0.0625,0.1111,0.2
Exclamation Marks,0.385,1.0945,-1.2567,2.0267,0.0,24.0,0.0,0.0,0.0,0.0,2.0
Question Marks,0.0299,0.2272,-0.3108,0.3706,0.0,7.0,0.0,0.0,0.0,0.0,0.0
Capital Letter Usage,0.0103,0.0633,-0.0847,0.1053,0.0,1.0,0.0,0.0,0.0,0.0,0.0417
Punctuation Density,0.2637,0.2146,-0.0581,0.5856,0.0,11.5,0.1,0.1765,0.24,0.3125,0.5
