"label";"review"
"OR";"I was in  the envy of my coworkers !"
"OR";"Well, that's that... I gave Jordan three chances to get the series back to what it used to be, and it's just not happening.  I won't be buying another Wheel of Time book in hardcover. In fact, I may just go to the library and check a copy out next time, rather than even buying it in paperback.
I use"
"OR";"This book is typical of the genre and is filled with angst, smoking hot scenes and complete and utter denial and misunderstandings. It covers all of the bases that fans have come to expect. Two people who are complete opposites find themselves attracted to each other but have a million reasons why t"
"OR";"Let me start off by telling you that this story is not your typical romance story. Is it even possible to be able to find romance between an addict and a former addict ? In this story there are quite a few dark moments that have you holding your breath and praying and hoping for the best. What I lov"
"OR";"I liked the story.  By now you know what the story is about so I won't go into that.  I thought the storyline was good.  I did feel sorry for the Hero who was cheated out of 10 years of his son's life.  He was 2 years older than her and she was a college graduate, so he had to be around 25 or so.  I"
"OR";"As always this was a great book, I was worried because after reading the second book I thought that it was the last book and felt it had a good ending, so I wondered how this book would go. But it was great, I loved that they had their problems, but they always stayed together. Gabriel was great as "
"OR";"I was pleasantly surprised by this little gem! I ordered it and watched it because I had read some of the more positive reviews and also because I seem to ""share"" my taste in movies with a few other customers so I always look at what they said, first, and if they like and/or love it, I usually do, a"
"OR";"First and foremost they claim this is an BBW romance. The author never mentuons that in the book but they do talk about all the time in the gym she spends and how proud she is of her body and her beauty. How he touches her taut abs and toned legs and so on. Yes you can be curvy and fit but I didn't "
"OR";"UPDATED Mon June 20, 2016 for Grammatical and Structural Issues:

ORIGINAL REVIEW WRITTEN IN 2002:

This is an entertaining book, once again not for people under the age of 12, because of some of the content, but Meg Cabot has this way of writing in making all these situations hilarious while mixing"
"OR";"I received this book free for review. I am not being compensated or influenced.

I could not put this book down. I devoured it in a matter of an hour and a little bit, and it blew my mind. Devlin is by far one of my favorite male leads of anything Ive read this year. Hes strong, smart, sensitive and"
"OR";"This is the first Nicholas Spark novel I have read.  I've seen the movie version of ""The Notebook"" (one of my favorite movies) and ""Nights in Rodanthe"", which I enjoyed.  I saw this book selling for fifty cents at a used book store and figured I'd give it a try, as usually the book is better than th"
"OR";"This book was just wow... So good! So much makes more since to me from the Sizzling Miami series now.
So Chase's old Dom dies and leaves him alone with the Dom's sons who are cruel to Chase. He asks Ty for help and Ty then agrees to take him on after talking with him for awhile.
Then you jump ahead "
"OR";"Enthralling doesn't even begin to cover this book. Ms. Kelly's story-telling and writing style in this book was more than I could have hoped for. The story was exciting, hot, and hilarious. The plot had me staying up into the night to read longer than I should have. The female characters are strong "
"OR";"I. Loved. This. Book. LOVED IT!!  Which is funny, because I normally don't read contemporary books that often and I hate romance.  And this book was a contemporary romance.  Yet I fell in love with it!  It is freaking hilarious.  I love the author's humor, and I was laughing out loud over and over a"
"OR";"Having been a fan of both Rosanne's work from her 1st album to ""River and The Thread"", I found her memoir fascinating. It is one of those can't put it down page Gardner's, haven't read a book so fast in years. I loved her beautiful way with words, her writing is wonderful and so touching. I loved he"
"OR";"This is the first book I have read by Lucy Snow.  I have to say I was truly shocked at the book.  It was a very good read.  The hero and heroine in the book, Ronan, and Kara are developed and work real well together.  Kara's mother was married to Ronan's dad until she found out just he did for a liv"
"OR";"In Love on my Mind, Chelsea is hired by Adam's company to help him get ready for their new product launch.  If she does well, there is a big promotion in store for her. She faces two big obstacles...Adam is a genius, but socially awkward and she can't tell him she has been hired to help him.  This b"
"OR";"Is this a great novel, or just a great read? That's the question I ask myself before writing this review.  Right now, I can't answer the question.  For me, only time and another read or two will lean me towards one or the other.  I am content now in saying it was a great read,  I really did enjoy it"
"OR";"Warning- some spoilers inside:
Not sure what to say about this book- except that I definitely liked the first book in this series better.
Here is my summary of what happened. Every chapter- Amilia falls apart and has an emotional breakdown. (Some authors don't realize that carrying a sword and killi"
"OR";"This was my first (and last) Michael Connelly book. It moved too slow. Connelly obviously knows a lot about inside workings of a police detective because the time spent on trivia was a large part of the book. There was just way, way too many words wasted describing going to work and how police proce"
"OR";"You know, I've been a fan of these Paranormal Activity movies since it debuted a few years ago. The first and second movies were pretty decent, although you can tell they were made on a low-budget. The first two relied more on getting to know the characters and heavily on very slow-building tension,"
"OR";"Having just watched McFarland USA with Costner which I think was a good movie, it was tough for me not to compare the two movies and Costners portrayals a bit. Costners plays his flawed character well although his portrayal feels a bit more subdued than I expected. To me though Estill, who played th"
"OR";"The author wrote the perfect amount, drawing me in to the scenes and allowing the reader to feel a strong connection. I just love this author writing, she is one of the most talented authors I have come across, mainly because her writing is so real and original. I have read The Heart Racer series si"
"OR";"I hate getting sweat in my eyes while running and biking, so I am always looking for a good solution. I had the Halo headband for two years and it worked okay in mild weather (70s), but in the middle of summer (high 80s and 90s) it would soak through quickly and let sweat in my eyes and down my nose"
"OR";"Book #48 Read in 2013
The Husband's Secret by Liane Moriarty

This book tells the story of three women:  Rachel, Cecilia and Tess, and how they are connected in ways that are unknown even to them. Rachel's daughter was murdered as a teenager. Cecilia is feeling unsatisfied with her normally perfect "
"OR";"This book was a recommendation of my reading group. Having never heard of Elizabeth Peters, I was surprised to find that she's a prolific author with many best-selling mysteries and is an expert in Egyptology. This is the first of her Amelia Peabody mysteries. I quite liked this book. It reminded me"
"OR";"""There come a time Kemosabe when good man must wear mask."" After trying to provide justice to the notorious outlaw Butch Cavendish, ranger John Reid (Hammer) is shot and left for dead. When he is rescued by a Comanche Indian named Tonto (Depp) he is told of his destiny and together they ride again t"
"OR";"I bought these boots for my girlfriend and she was very excited to receive such a lovely gift. She loves that they go on so easily and yet they are incredibly secure once they are laced up. They come in a variety of colors but the blue color we chose is a lovely pairing with any type of denim. They "
"OR";"I purchased this backpack because I read that this was a way to drain more energy from my dog during our walks.  He is a hound mix and he pulls me all over the place when we are walking and I am by no means a small woman.  As of right now we are at the point of him carrying one water bottle on each "
"OR";"The Nordan family has problems.  The death of three of them in rather gruesome ways is the least of it.  The head of the family Amos Nordan is a cave man in his thinking, about woman, and the government interfering with his business, and its causing the rest of the family nothing but trouble.  Lucky"
"OR";"I wish there was a 3 1/2 star option.  I am somewhere between this book is ok and liking it.  Andre and Devon are wonderful characters with great chemistry when they are in the throws of passion.  But, on the other side of that Devon starts out strong and fearless then turns to ""Andre"" mush and then"
"OR";"This a brilliant, fun, thought provoking, wonderful book by a mistress of her craft.  I do not know if it is the best detective novel of all time, but it is up there. I would say it was one of the best novels I ever read - period. I read it many years ago, decades, in fact. I could do no more than g"
"OR";"Love Belvin has quickly earned a spot on my list of favorite authors. I can safely say I will read whatever she put out.

I think I might have been frustrated by the series if I read it as it was released, because each of the first books stopped very abruptly. Luckily, I didn't get put onto these bo"
"OR";"The first fountain lasted less than 1 month. The cheap plastic part just broke off in my hand when I was cleaning the system for only the 3rd time. The cats, and I, were loving it up until then. After all, it was the prettiest fountain out there, plus it is mostly ceramic. My poor boy loved drinking"
"OR";"3.5 torn stars, rounded up. I liked the story, but it was a cliffhanger, which I really don't like at all. When I invest hours of precious time in a story, get into it, and then discover I have to buy the next ""x"" number of books to find out what happens and get some closure, I'm not happy.

Besides"
"OR";"This is Christa Simpson's 1st novel and she nails it! She creates a friendship between two exes to ""friends with benefits"". She captivates us with her ability to make us swoon over the leading man, wish we were the so called ""Friends with benefits"" girl, humor, girlfriend banter, intrigue and more!
"
"OR";"Boy Meets World as a show was great. I enjoyed growing up along with it and I still enjoy watching it now. The first four or five seasons were really wonderful and things went slightly downhill after that. This final season didn't seem to have quite the same magic as the earlier ones but it didn't s"
"OR";"You loved me at my Ugliest is the 3rd and final book in Evie Harper's ""You Loved me Series"". All three books can be read as a standalone but are best read in order.

This book is Joey and Alexa's story. The story begins with a lot of background information about both Joey and Alexa when they were ch"
"OR";"I only use my kindle for text to speech. Sometimes in my excitement I miss the little mention that the publisher has chosen not to let me use the product this way. I have then paid for something that is useless for me. The publisher arbitrarily chose to disable this feature, it makes no impact on th"
"OR";"I read this book all of the way through. He explains a lot of things about quantum physics and other related subjects thoroughly. In fact, it was the most concise explanation for the new scientific discoveries that I have read in one book. But where the author goes wrong, in my opinion, is when he a"
"OR";"This is a fast read, but a nice one at that. Jennifer is this girl who had a bad realtionship with this one guy, did not so swell in college, and finally stopping at technology. She likes and opened up a repair shop with the money left over from her dad. So far she's glad she hasn't touched Grammy's"
"OR";"All the hundreds of thousands of wannabe writers out there (including yours truly) and THIS is what gets published.  Granted, it's a great premise, its just terrible writing and saddest of all (judging by the success of this series) no one can tell the difference.  But by all means if you want writi"
"OR";"King has a natural (maybe supernatural) talent of writing horror novels. Everyone knows that. What a lot of folks don't know is he is one of our generations greatest writers period taking genre out of the equation. I've never read a novel that jumps back and forth to two timelines that I've enjoyed."
